x;y
0;0,000008
500;0,001708
1000;0,003350
1500;0,005447
2000;0,006506
2500;0,009008
3000;0,010768
3500;0,012049
4000;0,013116
4500;0,017179
5000;0,018394
5500;0,019868
6000;0,021058
6500;0,023822
7000;0,024164
7500;0,025562
8000;0,026962
8500;0,033713
9000;0,038692
9500;0,038953
10000;0,037579
10500;0,038545
11000;0,040305
11500;0,041742
12000;0,045459
12500;0,044100
13000;0,045911
13500;0,046803
14000;0,048348
14500;0,050169
15000;0,050746
15500;0,053158
16000;0,054823
16500;0,066875
17000;0,066780
17500;0,068131
18000;0,069586
18500;0,071493
19000;0,070858
19500;0,074615
20000;0,074376
20500;0,076659
21000;0,077223
21500;0,079460
22000;0,080439
22500;0,082096
23000;0,082913
23500;0,085723
24000;0,085117
24500;0,086156
25000;0,093604
25500;0,091445
26000;0,092117
26500;0,093450
27000;0,094351
27500;0,096312
28000;0,097817
28500;0,098326
29000;0,100254
29500;0,101477
30000;0,102805
30500;0,103567
31000;0,108084
31500;0,106933
32000;0,107047
32500;0,109264
33000;0,130434
33500;0,131081
34000;0,132561
34500;0,135432
35000;0,133858
35500;0,137603
36000;0,139216
36500;0,137661
37000;0,139450
37500;0,142557
38000;0,143124
38500;0,145260
39000;0,161501
39500;0,161117
40000;0,150166
40500;0,150625
41000;0,156763
41500;0,153945
42000;0,155431
42500;0,155803
43000;0,156214
43500;0,159261
44000;0,159551
44500;0,161943
45000;0,162995
45500;0,166449
46000;0,167608
46500;0,167876
47000;0,186157
47500;0,170283
48000;0,190223
48500;0,172807
49000;0,174916
49500;0,174259
