x;y
0;0,000015
50;0,000263
100;0,000257
150;0,000468
200;0,000586
250;0,000829
300;0,001558
350;0,001189
400;0,001373
450;0,003079
500;0,001910
550;0,002567
600;0,002383
650;0,002866
700;0,002865
750;0,003343
800;0,003962
850;0,004034
900;0,004179
950;0,004745
1000;0,005063
1050;0,005639
1100;0,005674
1150;0,006753
1200;0,006617
1250;0,007563
1300;0,007587
1350;0,008152
1400;0,008685
1450;0,009410
1500;0,009609
1550;0,014816
1600;0,010552
1650;0,011528
1700;0,011474
1750;0,012841
1800;0,015114
1850;0,014813
1900;0,013851
1950;0,015390
2000;0,015705
2050;0,022029
2100;0,022196
2150;0,018605
2200;0,019876
2250;0,019449
2300;0,020879
2350;0,021622
2400;0,021028
2450;0,023544
2500;0,022445
2550;0,024111
2600;0,025337
2650;0,026052
2700;0,025658
2750;0,027291
2800;0,028709
2850;0,029236
2900;0,030149
2950;0,031092
3000;0,031222
3050;0,032957
3100;0,032695
3150;0,035095
3200;0,035169
3250;0,036942
3300;0,037487
3350;0,040594
3400;0,038668
3450;0,040838
3500;0,041305
3550;0,043335
3600;0,068634
3650;0,046669
3700;0,045581
3750;0,046838
3800;0,046937
3850;0,049897
3900;0,049908
3950;0,053343
4000;0,052260
4050;0,054938
4100;0,055055
4150;0,059248
4200;0,056441
4250;0,059105
4300;0,059602
4350;0,062186
4400;0,062677
4450;0,067392
4500;0,064345
4550;0,070453
4600;0,068533
4650;0,069805
4700;0,071147
4750;0,073188
4800;0,073410
4850;0,075598
4900;0,075277
4950;0,080643
