x;y
0;0,000002
1000;0,000389
2000;0,000915
3000;0,001166
4000;0,001887
5000;0,003627
6000;0,002536
7000;0,002776
8000;0,003249
9000;0,003653
10000;0,004285
11000;0,004353
12000;0,005025
13000;0,006417
14000;0,005417
15000;0,006153
16000;0,006340
17000;0,008046
18000;0,007795
19000;0,007462
20000;0,008274
21000;0,008778
22000;0,009083
23000;0,009216
24000;0,009631
25000;0,010577
26000;0,010680
27000;0,011600
28000;0,011048
29000;0,012684
30000;0,012400
31000;0,012517
32000;0,013341
33000;0,017083
34000;0,015259
35000;0,014209
36000;0,014661
37000;0,014908
38000;0,015495
39000;0,016370
40000;0,016390
41000;0,016386
42000;0,019787
43000;0,017863
44000;0,017800
45000;0,018648
46000;0,018276
47000;0,018872
48000;0,019522
49000;0,019937
50000;0,020481
51000;0,021038
52000;0,021009
53000;0,021378
54000;0,023994
55000;0,022429
56000;0,022829
57000;0,025071
58000;0,024733
59000;0,023820
60000;0,024356
61000;0,026230
62000;0,025763
63000;0,025163
64000;0,027148
65000;0,026612
66000;0,026918
67000;0,028429
68000;0,028858
69000;0,029028
70000;0,028256
71000;0,028681
72000;0,030393
73000;0,029488
74000;0,029686
75000;0,030334
76000;0,031319
77000;0,031149
78000;0,032014
79000;0,032128
80000;0,032402
81000;0,033401
82000;0,033766
83000;0,035092
84000;0,036371
85000;0,036344
86000;0,036413
87000;0,037350
88000;0,037971
89000;0,039030
90000;0,038382
91000;0,037153
92000;0,037738
93000;0,037495
94000;0,039065
95000;0,038433
96000;0,039320
97000;0,039784
98000;0,039873
99000;0,041433
