x;y
0;0,000004
1000;0,000389
2000;0,000777
3000;0,001167
4000;0,001595
5000;0,001986
6000;0,002546
7000;0,003299
8000;0,003685
9000;0,003761
10000;0,004256
11000;0,005050
12000;0,005945
13000;0,006088
14000;0,006551
15000;0,006665
16000;0,007686
17000;0,008878
18000;0,008760
19000;0,012931
20000;0,010574
21000;0,014760
22000;0,011187
23000;0,011264
24000;0,011030
25000;0,012465
26000;0,014128
27000;0,016221
28000;0,013766
29000;0,015060
30000;0,018331
31000;0,015708
32000;0,015883
33000;0,016313
34000;0,017565
35000;0,018239
36000;0,017982
37000;0,021686
38000;0,037190
39000;0,023560
40000;0,023722
41000;0,026494
42000;0,026419
43000;0,028503
44000;0,029242
45000;0,026620
46000;0,032668
47000;0,031704
48000;0,035458
49000;0,034356
50000;0,038031
51000;0,037911
52000;0,038820
53000;0,039974
54000;0,041828
55000;0,050095
56000;0,045946
57000;0,045198
58000;0,048235
59000;0,047923
60000;0,052757
61000;0,051806
62000;0,053058
63000;0,055759
64000;0,057365
65000;0,056463
66000;0,064155
67000;0,063591
68000;0,067427
69000;0,065444
70000;0,066023
71000;0,068445
72000;0,073430
73000;0,076011
74000;0,072734
75000;0,080457
76000;0,081052
77000;0,083031
78000;0,083434
79000;0,087055
80000;0,085119
81000;0,087609
82000;0,091913
83000;0,092582
84000;0,093195
85000;0,095467
86000;0,099436
87000;0,099035
88000;0,099764
89000;0,102658
90000;0,105804
91000;0,106772
92000;0,110775
93000;0,112143
94000;0,128358
95000;0,115651
96000;0,117480
97000;0,120275
98000;0,128420
99000;0,126754
